main_id,ra,dec
TYC 7808-464-1,214.99711023112997,-40.2646263742
TYC 6593-1914-1,134.41883350004,-27.13482797488
UCAC4 315-055441,134.24980370068,-27.09091970554
TYC 4010-807-1,348.72476007176,59.64651043768001
UCAC2  20607164,134.22385883479,-27.071365786609995
2MASS J18201687-1809181,275.07032599999997,-18.155029
TYC 6593-2106-1,134.25727416328,-27.148012882699998
TYC 6593-1868-1,134.17018323234,-27.07617001411
2MASS J18202709-1709210,275.11287537796994,-17.155841504730002
TYC 7808-2111-1,214.87562463162996,-40.20367002999
